flowID,src,dest,period[s],e2e_deadline[s],net_deadline[s],latency_bound[s],seqn,send_ts[s],rcv_ts[s],latency[s],slack[s],tightness[%]
31-1,31,1,5.0,53.0,4.26664,35.399496,140,840.8189849853516,843.5892839431763,2.770298957824707,50.22970104217529,7.825814689069888
31-1,31,1,5.0,53.0,4.26664,35.399496,141,846.8290159702301,850.0094590187073,3.180443048477173,49.81955695152283,8.98443031075124
31-1,31,1,5.0,53.0,4.26664,35.399496,142,852.8492460250854,854.2609100341797,1.4116640090942383,51.58833599090576,3.987808213693885
31-1,31,1,5.0,53.0,4.26664,35.399496,143,858.8389480113983,862.8005440235138,3.9615960121154785,49.03840398788452,11.191108517803414
31-1,31,1,5.0,53.0,4.26664,35.399496,144,864.8598339557648,868.1303849220276,3.2705509662628174,49.72944903373718,9.238976075430049
31-1,31,1,5.0,53.0,4.26664,35.399496,145,870.8490920066833,873.4305880069733,2.581496000289917,50.41850399971008,7.292465407671106
31-1,31,1,5.0,53.0,4.26664,35.399496,146,876.8643620014191,878.7886779308319,1.9243159294128418,51.07568407058716,5.435998098427283
31-1,31,1,5.0,53.0,4.26664,35.399496,147,882.8789520263672,885.1607789993286,2.281826972961426,50.718173027038574,6.445930679243077
31-1,31,1,5.0,53.0,4.26664,35.399496,148,888.8689739704132,892.6486620903015,3.7796881198883057,49.220311880111694,10.677237099331318
31-1,31,1,5.0,53.0,4.26664,35.399496,149,894.8892250061035,900.1082119941711,5.218986988067627,47.78101301193237,14.743110998155531
32-1,32,1,7.0,55.0,6.39996,39.532816,0,0.01694202423095703,,,,
32-1,32,1,7.0,55.0,6.39996,39.532816,1,7.499083995819092,,,,
32-1,32,1,7.0,55.0,6.39996,39.532816,2,14.999866008758545,36.641201972961426,21.64133596420288,33.35866403579712,54.74271290009516
32-1,32,1,7.0,55.0,6.39996,39.532816,3,22.509339094161987,,,,
32-1,32,1,7.0,55.0,6.39996,39.532816,4,30.031095027923584,,,,
32-1,32,1,7.0,55.0,6.39996,39.532816,5,37.51906895637512,40.90038704872131,3.3813180923461914,51.61868190765381,8.553193105055284
32-1,32,1,7.0,55.0,6.39996,39.532816,6,45.023231983184814,51.5594379901886,6.536206007003784,48.463793992996216,16.533621098491402
32-1,32,1,7.0,55.0,6.39996,39.532816,7,52.52936100959778,54.73929810523987,2.20993709564209,52.79006290435791,5.590133259523151
32-1,32,1,7.0,55.0,6.39996,39.532816,8,60.041871070861816,65.4208550453186,5.378983974456787,49.62101602554321,13.606376976678785
32-1,32,1,7.0,55.0,6.39996,39.532816,9,67.55927896499634,70.75815105438232,3.1988720893859863,51.801127910614014,8.091687901479082
32-1,32,1,7.0,55.0,6.39996,39.532816,10,75.05113196372986,79.28088402748108,4.229752063751221,50.77024793624878,10.6993442201315
32-1,32,1,7.0,55.0,6.39996,39.532816,11,82.56936192512512,85.6890230178833,3.1196610927581787,51.88033890724182,7.891320195247864
32-1,32,1,7.0,55.0,6.39996,39.532816,12,90.05958700180054,99.54843091964722,9.48884391784668,45.51115608215332,24.002448795569435
32-1,32,1,7.0,55.0,6.39996,39.532816,13,97.56916308403015,,,,
