1513435509.902290,1,1,r,128717 structure.c 398 DATA: Node 15, packet 9 received; ETE 56000
1513435509.930536,1,1,r,128723 structure.c 398 DATA: Node 33, packet 10 received; ETE 50000
1513435509.930536,1,1,r,128730 structure.c 398 DATA: Node 32, packet 11 received; ETE 55000
1513435512.032856,1,1,r,130849 structure.c 398 DATA: Node 8, packet 10 received; ETE 54000
1513435512.061059,1,1,r,130855 structure.c 398 DATA: Node 28, packet 8 received; ETE 58000
1513435512.061059,1,1,r,130861 structure.c 398 DATA: Node 22, packet 14 received; ETE 54000
1513435514.170964,1,1,r,132972 structure.c 398 DATA: Node 31, packet 14 received; ETE 53000
1513435518.432132,1,1,r,137245 structure.c 398 DATA: Node 33, packet 11 received; ETE 50000
1513435518.460783,1,1,r,137251 structure.c 398 DATA: Node 15, packet 10 received; ETE 56000
1513435518.460783,1,1,r,137258 structure.c 398 DATA: Node 4, packet 7 received; ETE 57000
1513435518.460783,1,1,r,137264 structure.c 398 DATA: Node 31, packet 15 received; ETE 53000
1513435519.486617,1,1,r,138302 structure.c 398 DATA: Node 22, packet 15 received; ETE 54000
1513435521.642187,1,1,r,140443 structure.c 398 DATA: Node 28, packet 9 received; ETE 58000
1513435521.642187,1,1,r,140449 structure.c 398 DATA: Node 22, packet 16 received; ETE 54000
1513435521.642187,1,1,r,140456 structure.c 398 DATA: Node 31, packet 16 received; ETE 53000
1513435523.761915,1,1,r,142575 structure.c 398 DATA: Node 8, packet 11 received; ETE 54000
1513435523.789944,1,1,r,142581 structure.c 398 DATA: Node 33, packet 12 received; ETE 50000
1513435523.789944,1,1,r,142587 structure.c 398 DATA: Node 32, packet 12 received; ETE 55000
1513435524.849333,1,1,r,143639 structure.c 398 DATA: Node 15, packet 11 received; ETE 56000
1513435524.849333,1,1,r,143645 structure.c 398 DATA: Node 4, packet 8 received; ETE 57000
1513435529.092339,1,1,r,147905 structure.c 398 DATA: Node 31, packet 17 received; ETE 53000
1513435529.119889,1,1,r,147911 structure.c 398 DATA: Node 22, packet 17 received; ETE 54000
1513435529.119889,1,1,r,147918 structure.c 398 DATA: Node 8, packet 12 received; ETE 54000
1513435530.161015,1,1,r,148962 structure.c 398 DATA: Node 28, packet 10 received; ETE 58000
1513435533.352823,1,1,r,152169 structure.c 398 DATA: Node 22, packet 18 received; ETE 54000
1513435533.381114,1,1,r,152175 structure.c 398 DATA: Node 31, packet 18 received; ETE 53000
1513435533.381114,1,1,r,152182 structure.c 398 DATA: Node 15, packet 12 received; ETE 56000
1513435535.481585,1,1,r,154299 structure.c 398 DATA: Node 8, packet 13 received; ETE 54000
1513435535.509598,1,1,r,154305 structure.c 398 DATA: Node 4, packet 9 received; ETE 57000
1513435537.631273,1,1,r,156431 structure.c 398 DATA: Node 33, packet 13 received; ETE 50000
1513435537.631273,1,1,r,156437 structure.c 398 DATA: Node 32, packet 14 received; ETE 55000
1513435541.882205,1,1,r,160697 structure.c 398 DATA: Node 8, packet 14 received; ETE 54000
1513435541.910614,1,1,r,160703 structure.c 398 DATA: Node 22, packet 19 received; ETE 54000
1513435541.910614,1,1,r,160710 structure.c 398 DATA: Node 31, packet 19 received; ETE 53000
1513435544.011820,1,1,r,162826 structure.c 398 DATA: Node 4, packet 10 received; ETE 57000
1513435544.040281,1,1,r,162833 structure.c 398 DATA: Node 33, packet 14 received; ETE 50000
1513435547.211637,1,1,r,166025 structure.c 398 DATA: Node 28, packet 11 received; ETE 58000
1513435547.239722,1,1,r,166031 structure.c 398 DATA: Node 31, packet 20 received; ETE 53000
1513435549.342217,1,1,r,168157 structure.c 398 DATA: Node 22, packet 20 received; ETE 54000
1513435549.370249,1,1,r,168163 structure.c 398 DATA: Node 15, packet 13 received; ETE 56000
1513435551.492624,1,1,r,170291 structure.c 398 DATA: Node 32, packet 16 received; ETE 55000
1513435551.492624,1,1,r,170297 structure.c 398 DATA: Node 22, packet 21 received; ETE 54000
1513435551.492624,1,1,r,170304 structure.c 398 DATA: Node 31, packet 21 received; ETE 53000
1513435553.621539,1,1,r,172421 structure.c 398 DATA: Node 33, packet 15 received; ETE 50000
1513435553.621539,1,1,r,172427 structure.c 398 DATA: Node 8, packet 15 received; ETE 54000
1513435554.672307,1,1,r,173489 structure.c 398 DATA: Node 4, packet 11 received; ETE 57000
1513435554.700907,1,1,r,173495 structure.c 398 DATA: Node 15, packet 14 received; ETE 56000
1513435554.700907,1,1,r,173502 structure.c 398 DATA: Node 28, packet 12 received; ETE 58000
1513435558.953762,1,1,r,177753 structure.c 398 DATA: Node 31, packet 22 received; ETE 53000
1513435558.953762,1,1,r,177759 structure.c 398 DATA: Node 22, packet 22 received; ETE 54000
1513435558.953762,1,1,r,177766 structure.c 398 DATA: Node 8, packet 16 received; ETE 54000
1513435558.953762,1,1,r,177772 structure.c 398 DATA: Node 32, packet 17 received; ETE 55000
1513435562.140827,1,1,r,180942 structure.c 398 DATA: Node 4, packet 12 received; ETE 57000
1513435563.201800,1,1,r,182015 structure.c 398 DATA: Node 22, packet 23 received; ETE 54000
1513435563.229792,1,1,r,182021 structure.c 398 DATA: Node 31, packet 23 received; ETE 53000
1513435566.402127,1,1,r,185215 structure.c 398 DATA: Node 32, packet 18 received; ETE 55000
1513435566.430922,1,1,r,185221 structure.c 398 DATA: Node 8, packet 17 received; ETE 54000
1513435566.430922,1,1,r,185228 structure.c 398 DATA: Node 28, packet 13 received; ETE 58000
1513435566.430922,1,1,r,185234 structure.c 398 DATA: Node 15, packet 15 received; ETE 56000
1513435567.470799,1,1,r,186272 structure.c 398 DATA: Node 33, packet 17 received; ETE 50000
1513435572.813996,1,1,r,191611 structure.c 398 DATA: Node 8, packet 18 received; ETE 54000
1513435572.813996,1,1,r,191617 structure.c 398 DATA: Node 22, packet 24 received; ETE 54000
1513435572.813996,1,1,r,191624 structure.c 398 DATA: Node 31, packet 24 received; ETE 53000
1513435572.813996,1,1,r,191630 structure.c 398 DATA: Node 33, packet 18 received; ETE 50000
1513435573.862740,1,1,r,192677 structure.c 398 DATA: Node 15, packet 16 received; ETE 56000
1513435573.909966,1,1,r,192683 structure.c 398 DATA: Node 32, packet 19 received; ETE 55000
1513435573.909966,1,1,r,192690 structure.c 398 DATA: Node 28, packet 14 received; ETE 58000
1513435577.072127,1,1,r,195873 structure.c 398 DATA: Node 31, packet 25 received; ETE 53000
1513435577.072127,1,1,r,195879 structure.c 398 DATA: Node 22, packet 25 received; ETE 54000
1513435579.192198,1,1,r,198005 structure.c 398 DATA: Node 32, packet 20 received; ETE 55000
1513435579.220846,1,1,r,198011 structure.c 398 DATA: Node 33, packet 19 received; ETE 50000
1513435581.321609,1,1,r,200137 structure.c 398 DATA: Node 4, packet 13 received; ETE 57000
1513435581.350205,1,1,r,200143 structure.c 398 DATA: Node 15, packet 17 received; ETE 56000
1513435583.473041,1,1,r,202271 structure.c 398 DATA: Node 22, packet 26 received; ETE 54000
1513435583.473041,1,1,r,202277 structure.c 398 DATA: Node 31, packet 26 received; ETE 53000
1513435583.473041,1,1,r,202284 structure.c 398 DATA: Node 8, packet 19 received; ETE 54000
1513435583.473041,1,1,r,202290 structure.c 398 DATA: Node 28, packet 15 received; ETE 58000
1513435584.521614,1,1,r,203335 structure.c 398 DATA: Node 33, packet 20 received; ETE 50000
1513435584.550364,1,1,r,203341 structure.c 398 DATA: Node 32, packet 21 received; ETE 55000
1513435588.802653,1,1,r,207601 structure.c 398 DATA: Node 31, packet 27 received; ETE 53000
1513435588.802653,1,1,r,207607 structure.c 398 DATA: Node 22, packet 27 received; ETE 54000
1513435588.802653,1,1,r,207614 structure.c 398 DATA: Node 8, packet 20 received; ETE 54000
