1513357444.640522,1,1,r,275443 structure.c 398 DATA: Node 31, packet 14 received; ETE 53000
1513357447.821151,1,1,r,278620 structure.c 398 DATA: Node 32, packet 15 received; ETE 52000
1513357447.821151,1,1,r,278627 structure.c 398 DATA: Node 28, packet 22 received; ETE 58000
1513357455.281929,1,1,r,286082 structure.c 398 DATA: Node 8, packet 22 received; ETE 58000
1513357455.281929,1,1,r,286089 structure.c 398 DATA: Node 3, packet 13 received; ETE 54000
1513357459.531086,1,1,r,290346 structure.c 398 DATA: Node 28, packet 23 received; ETE 58000
1513357459.559324,1,1,r,290353 structure.c 398 DATA: Node 32, packet 16 received; ETE 52000
1513357462.731967,1,1,r,293544 structure.c 398 DATA: Node 15, packet 15 received; ETE 54000
1513357462.760797,1,1,r,293551 structure.c 398 DATA: Node 22, packet 20 received; ETE 59000
1513357465.920850,1,1,r,296736 structure.c 398 DATA: Node 28, packet 24 received; ETE 58000
1513357470.192174,1,1,r,301008 structure.c 398 DATA: Node 3, packet 14 received; ETE 54000
1513357470.222251,1,1,r,301015 structure.c 398 DATA: Node 8, packet 23 received; ETE 58000
1513357470.222251,1,1,r,301021 structure.c 398 DATA: Node 33, packet 12 received; ETE 57000
1513357475.522249,1,1,r,306338 structure.c 398 DATA: Node 32, packet 17 received; ETE 52000
1513357475.550446,1,1,r,306345 structure.c 398 DATA: Node 31, packet 15 received; ETE 53000
1513357475.550446,1,1,r,306351 structure.c 398 DATA: Node 22, packet 21 received; ETE 59000
1513357478.722533,1,1,r,309534 structure.c 398 DATA: Node 15, packet 16 received; ETE 54000
1513357478.764421,1,1,r,309540 structure.c 398 DATA: Node 28, packet 25 received; ETE 58000
1513357481.910753,1,1,r,312726 structure.c 398 DATA: Node 8, packet 24 received; ETE 58000
1513357486.182348,1,1,r,316998 structure.c 398 DATA: Node 22, packet 22 received; ETE 59000
1513357486.212712,1,1,r,317005 structure.c 398 DATA: Node 28, packet 26 received; ETE 58000
1513357486.212712,1,1,r,317011 structure.c 398 DATA: Node 32, packet 18 received; ETE 52000
1513357486.212712,1,1,r,317017 structure.c 398 DATA: Node 3, packet 15 received; ETE 54000
1513357490.440541,1,1,r,321254 structure.c 398 DATA: Node 31, packet 16 received; ETE 53000
1513357492.570689,1,1,r,323386 structure.c 398 DATA: Node 33, packet 13 received; ETE 57000
1513357494.711817,1,1,r,325524 structure.c 398 DATA: Node 8, packet 25 received; ETE 58000
1513357494.739723,1,1,r,325530 structure.c 398 DATA: Node 15, packet 17 received; ETE 54000
1513357497.921822,1,1,r,328722 structure.c 398 DATA: Node 28, packet 27 received; ETE 58000
1513357497.921822,1,1,r,328728 structure.c 398 DATA: Node 22, packet 23 received; ETE 59000
1513357501.134577,1,1,r,331922 structure.c 398 DATA: Node 32, packet 19 received; ETE 52000
1513357501.134577,1,1,r,331928 structure.c 398 DATA: Node 8, packet 26 received; ETE 58000
1513357501.134577,1,1,r,331935 structure.c 398 DATA: Node 3, packet 16 received; ETE 54000
1513357505.360865,1,1,r,336178 structure.c 398 DATA: Node 31, packet 17 received; ETE 53000
1513357507.510790,1,1,r,338309 structure.c 398 DATA: Node 28, packet 28 received; ETE 58000
1513357509.640419,1,1,r,340441 structure.c 398 DATA: Node 22, packet 24 received; ETE 59000
1513357512.833599,1,1,r,343646 structure.c 398 DATA: Node 33, packet 14 received; ETE 57000
1513357512.872543,1,1,r,343652 structure.c 398 DATA: Node 8, packet 27 received; ETE 58000
1513357516.020731,1,1,r,346838 structure.c 398 DATA: Node 32, packet 20 received; ETE 52000
1513357520.312088,1,1,r,351110 structure.c 398 DATA: Node 22, packet 25 received; ETE 59000
1513357520.312088,1,1,r,351116 structure.c 398 DATA: Node 31, packet 18 received; ETE 53000
1513357520.312088,1,1,r,351123 structure.c 398 DATA: Node 3, packet 17 received; ETE 54000
1513357523.500449,1,1,r,354299 structure.c 398 DATA: Node 8, packet 28 received; ETE 58000
1513357526.691545,1,1,r,357504 structure.c 398 DATA: Node 15, packet 18 received; ETE 54000
1513357526.719448,1,1,r,357511 structure.c 398 DATA: Node 28, packet 29 received; ETE 58000
1513357530.973391,1,1,r,361770 structure.c 398 DATA: Node 32, packet 21 received; ETE 52000
1513357530.973391,1,1,r,361776 structure.c 398 DATA: Node 22, packet 26 received; ETE 59000
1513357530.973391,1,1,r,361783 structure.c 398 DATA: Node 33, packet 15 received; ETE 57000
1513357530.973391,1,1,r,361789 structure.c 398 DATA: Node 8, packet 29 received; ETE 58000
1513357535.210709,1,1,r,366025 structure.c 398 DATA: Node 31, packet 19 received; ETE 53000
1513357537.340565,1,1,r,368157 structure.c 398 DATA: Node 3, packet 18 received; ETE 54000
1513357539.490818,1,1,r,370289 structure.c 398 DATA: Node 28, packet 30 received; ETE 58000
1513357542.681983,1,1,r,373494 structure.c 398 DATA: Node 22, packet 27 received; ETE 59000
1513357542.710581,1,1,r,373500 structure.c 398 DATA: Node 8, packet 30 received; ETE 58000
1513357545.870759,1,1,r,376685 structure.c 398 DATA: Node 32, packet 22 received; ETE 52000
