1513657115.935206,3,3,r,178744 structure.c 595 DATA: Node 3, packet 28 sent; IPI 4000
1513657120.455396,3,3,r,183250 structure.c 595 DATA: Node 3, packet 29 sent; IPI 4000
1513657124.945154,3,3,r,187755 structure.c 595 DATA: Node 3, packet 30 sent; IPI 4000
1513657129.455104,3,3,r,192261 structure.c 595 DATA: Node 3, packet 31 sent; IPI 4000
1513657133.955574,3,3,r,196767 structure.c 595 DATA: Node 3, packet 32 sent; IPI 4000
1513657138.464967,3,3,r,201273 structure.c 595 DATA: Node 3, packet 33 sent; IPI 4000
1513657142.985485,3,3,r,205779 structure.c 595 DATA: Node 3, packet 34 sent; IPI 4000
1513657147.474908,3,3,r,210284 structure.c 595 DATA: Node 3, packet 35 sent; IPI 4000
1513656980.191131,28,28,r, 42994 structure.c 595 DATA: Node 28, packet 0 sent; IPI 3000
1513656984.699563,28,28,r, 47500 structure.c 595 DATA: Node 28, packet 1 sent; IPI 3000
1513656989.190093,28,28,r, 52006 structure.c 595 DATA: Node 28, packet 2 sent; IPI 3000
1513656993.718969,28,28,r, 56512 structure.c 595 DATA: Node 28, packet 3 sent; IPI 3000
1513656998.200244,28,28,r, 61018 structure.c 595 DATA: Node 28, packet 4 sent; IPI 3000
1513657002.709816,28,28,r, 65523 structure.c 595 DATA: Node 28, packet 5 sent; IPI 3000
1513657007.230050,28,28,r, 70029 structure.c 595 DATA: Node 28, packet 6 sent; IPI 3000
1513657011.719669,28,28,r, 74535 structure.c 595 DATA: Node 28, packet 7 sent; IPI 3000
1513657016.239869,28,28,r, 79041 structure.c 595 DATA: Node 28, packet 8 sent; IPI 3000
1513657020.741003,28,28,r, 83547 structure.c 595 DATA: Node 28, packet 9 sent; IPI 3000
1513657025.240355,28,28,r, 88052 structure.c 595 DATA: Node 28, packet 10 sent; IPI 3000
1513657029.751508,28,28,r, 92558 structure.c 595 DATA: Node 28, packet 11 sent; IPI 3000
1513657034.251595,28,28,r, 97064 structure.c 595 DATA: Node 28, packet 12 sent; IPI 3000
1513657038.769438,28,28,r,101570 structure.c 595 DATA: Node 28, packet 13 sent; IPI 3000
1513657043.259969,28,28,r,106076 structure.c 595 DATA: Node 28, packet 14 sent; IPI 3000
1513657047.779702,28,28,r,110582 structure.c 595 DATA: Node 28, packet 15 sent; IPI 3000
1513657052.270200,28,28,r,115088 structure.c 595 DATA: Node 28, packet 16 sent; IPI 3000
1513657056.779695,28,28,r,119594 structure.c 595 DATA: Node 28, packet 17 sent; IPI 3000
1513657061.300291,28,28,r,124100 structure.c 595 DATA: Node 28, packet 18 sent; IPI 3000
1513657065.789544,28,28,r,128605 structure.c 595 DATA: Node 28, packet 19 sent; IPI 3000
1513657070.310239,28,28,r,133111 structure.c 595 DATA: Node 28, packet 20 sent; IPI 3000
1513657074.799727,28,28,r,137617 structure.c 595 DATA: Node 28, packet 21 sent; IPI 3000
1513657079.309823,28,28,r,142123 structure.c 595 DATA: Node 28, packet 22 sent; IPI 3000
1513657083.829622,28,28,r,146629 structure.c 595 DATA: Node 28, packet 23 sent; IPI 3000
1513657088.319613,28,28,r,151135 structure.c 595 DATA: Node 28, packet 24 sent; IPI 3000
1513657092.850167,28,28,r,155641 structure.c 595 DATA: Node 28, packet 25 sent; IPI 3000
1513657097.329699,28,28,r,160147 structure.c 595 DATA: Node 28, packet 26 sent; IPI 3000
1513657101.848763,28,28,r,164653 structure.c 595 DATA: Node 28, packet 27 sent; IPI 3000
1513657106.340905,28,28,r,169158 structure.c 595 DATA: Node 28, packet 28 sent; IPI 3000
